Partner,Amount (ZAR),Start,End,Requirements,Status,Name,Surname,Email,Total Value,Payment Frequency,Payment Allocations if Different across Yrs,Report Due Dates,HL Contact,HL Email
Smith-Jordan,3500699,1990-09-25,2014-01-16,sit,Won,Matthew,Larson,simmonsjudith@example.com,life,Annually,Common cover candidate boy.,Arrive avoid final then.,Jimmy,smithdawn@example.net
Valentine-Hess,1161237,1993-01-03,will,Agency should modern relate level son fall.,Lost,Christopher,Wilson,mmiller@example.com,8573575,Quarterly,Check music forget able identify up case.,Radio less six address improve organization.,piece,jeffreypruitt@example.net
"Peters, Kelly and Hines",7934781,1971-03-11,1973-07-11,Drug finally above PM.,Won,Stephanie,Alvarado,juan52@example.net,2866860,Monthly,Already its other one bar white sign.,Whom money any.,Christina,pamela01@example.org
Cooper Inc,3185201,1992-01-18,1998-03-15,Stay support loss important.,Lost,Julia,Bond,thall@example.org,9240344,Annually,Company difficult side mean shake tough.,Issue attorney much.,say,use
"Carter, Horton and Garcia",3260316,2003-03-20,1998-06-27,Might business if research blue one kind.,Lost,Margaret,Suarez,amydrake@example.net,3009164,Monthly,Child everything exactly improve tree food.,Discussion fill knowledge admit.,Michael,marc47@example.net
"Burgess, Zimmerman and Ortega",7219028,1971-02-18,1997-11-17,Condition prevent stop if maintain.,Lost,Edward,Pearson,acostaray@example.com,5753699,Monthly,Wind how human them party better.,Land understand town instead task talk enjoy.,Danny,lori70@example.net
Lloyd-Stuart,6357087,2025-02-12,1972-06-09,Street artist value base.,Won,Michael,Carlson,although,5985258,Annually,Stuff site condition usually example.,Here impact so cultural benefit artist.,Mary,richard77@example.org
Walker and Sons,name,2021-02-06,1981-04-04,Late short structure clear book degree about total.,Lost,book,here,benitezmatthew@example.net,3293634,Quarterly,Choice else statement nor perhaps may.,Race into hot not front sit.,Peter,jeffreyrobinson@example.net
Johnson-Curtis,8466093,1992-12-28,1975-11-09,Child whose social deep.,Lost,Christian,Horn,emily35@example.com,9194711,Quarterly,Parent century hotel much like.,Together itself safe only career.,Patrick,stevenvaldez@example.com
Parker-Carlson,2176293,1975-04-13,pull,Better not then theory.,Won,Gregory,Howard,jacqueline17@example.com,4688992,Monthly,Recognize course decide find everyone.,citizen,David,frank73@example.com
